Timestamp,Distance (cm)
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,12 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,304 cm
30/07/2024 22:14,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,292 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,301 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,301 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,302 cm
30/07/2024 22:15,303 cm
30/07/2024 22:15,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,301 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,301 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,301 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,301 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,255 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,303 cm
30/07/2024 22:16,302 cm
30/07/2024 22:16,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,254 cm
30/07/2024 22:17,254 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,304 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,304 cm
30/07/2024 22:17,255 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,304 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,302 cm
30/07/2024 22:17,303 cm
30/07/2024 22:17,302 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,255 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,256 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,254 cm
30/07/2024 22:18,254 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,256 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,255 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,255 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,304 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,302 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:18,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,304 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,304 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,291 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,304 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,254 cm
30/07/2024 22:19,255 cm
30/07/2024 22:19,304 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,254 cm
30/07/2024 22:19,304 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,305 cm
30/07/2024 22:19,304 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,302 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,73 cm
30/07/2024 22:19,71 cm
30/07/2024 22:19,101 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,304 cm
30/07/2024 22:19,303 cm
30/07/2024 22:19,304 cm
30/07/2024 22:20,294 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,254 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,292 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,304 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,303 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,302 cm
30/07/2024 22:20,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,301 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,301 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,301 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,302 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,303 cm
30/07/2024 22:21,302 cm
