timestamp,X,Y,Z
2024-08-13T12:11:37,0.67,-0.31,-0.06
2024-08-13T12:11:38,0.61,-0.24,-0.06
2024-08-13T12:11:38,0.55,-0.31,-0.06
2024-08-13T12:11:38,0.67,-0.31,-0.06
2024-08-13T12:11:38,0.92,-0.24,-0.06
2024-08-13T12:11:38,0.31,-0.31,-0.12
2024-08-13T12:11:39,0.43,-0.24,-0.06
2024-08-13T12:11:39,0.61,-0.24,-0.06
2024-08-13T12:11:39,0.98,-0.31,-0.06
2024-08-13T12:11:39,0.79,-0.31,-0.12
2024-08-13T12:11:40,0.37,-0.24,-0.12
2024-08-13T12:11:40,0.67,-0.24,-0.06
2024-08-13T12:11:40,0.43,-0.24,-0.12
2024-08-13T12:11:40,0.85,-0.24,-0.06
2024-08-13T12:11:40,0.98,-0.24,-0.06
2024-08-13T12:11:41,0.31,-0.24,-0.06
2024-08-13T12:11:41,0.37,-0.24,-0.06
2024-08-13T12:11:41,1.04,-0.24,-0.06
2024-08-13T12:11:41,-0.24,-0.24,-0.12
2024-08-13T12:11:42,0.67,-0.24,-0.12
2024-08-13T12:11:42,0.61,-0.24,-0.06
2024-08-13T12:11:42,0.85,-0.24,-0.12
2024-08-13T12:11:42,0.55,-0.31,-0.06
2024-08-13T12:11:43,0.55,-0.31,-0.12
2024-08-13T12:11:43,0.49,-0.24,-0.12
2024-08-13T12:11:43,0.06,-0.24,-0.06
2024-08-13T12:11:43,0.92,-0.31,-0.12
2024-08-13T12:11:43,0.55,-0.24,-0.06
2024-08-13T12:11:44,0.79,-0.24,-0.06
2024-08-13T12:11:44,0.67,-0.31,-0.06
2024-08-13T12:11:44,1.04,-0.37,-0.12
2024-08-13T12:11:44,-0.43,-0.18,-0.12
2024-08-13T12:11:45,0.49,-0.24,-0.06
2024-08-13T12:11:45,0.73,-0.24,-0.12
2024-08-13T12:11:45,1.28,-0.31,-0.06
2024-08-13T12:11:45,104.49,-7.51,-11.72
2024-08-13T12:11:46,28.93,0.92,7.75
2024-08-13T12:11:46,-126.28,4.94,-199.65
2024-08-13T12:11:46,-47.3,17.52,-63.72
2024-08-13T12:11:46,-27.22,15.01,-17.15
2024-08-13T12:11:47,-3.97,-69.09,18.55
2024-08-13T12:11:47,26.18,-18.86,-31.68
2024-08-13T12:11:47,-12.76,-51.57,-40.41
2024-08-13T12:11:47,10.99,500,1996.83
2024-08-13T12:11:48,0.12,-11.35,-1.28
2024-08-13T12:11:48,14.65,-30.03,-18.86
2024-08-13T12:11:48,-18.31,-1.89,-2.32
2024-08-13T12:11:48,80.14,2.38,6.84
2024-08-13T12:11:49,-37.6,-15.75,-12.02
2024-08-13T12:11:49,11.78,-4.52,15.69
2024-08-13T12:11:49,-9.77,-9.64,-8.24
2024-08-13T12:11:50,3.85,-10.56,2.87
2024-08-13T12:11:50,-10.25,-8.48,0.43
2024-08-13T12:11:50,-2.93,-2.26,-14.4
2024-08-13T12:11:51,-10.8,16.36,4.39
2024-08-13T12:11:51,82.46,9.64,-13.92
2024-08-13T12:11:51,-16.6,-1.83,12.88
2024-08-13T12:11:51,-46.51,17.4,-23.93
2024-08-13T12:11:51,2.01,-2.08,-18.86
2024-08-13T12:11:52,18.01,5.49,42.91
2024-08-13T12:11:52,32.78,5.86,19.23
2024-08-13T12:11:52,3.91,4.82,-10.99
2024-08-13T12:11:52,-0.79,1.28,-37.23
2024-08-13T12:11:53,2.14,-7.45,-25.94
2024-08-13T12:11:53,3.11,-7.75,3.48
2024-08-13T12:11:53,-3.23,-6.77,6.71
2024-08-13T12:11:53,0.79,-0.31,-0.92
2024-08-13T12:11:53,-2.5,0.92,-1.83
2024-08-13T12:11:54,-8.48,2.62,-8.48
2024-08-13T12:11:54,5.43,-0.12,2.62
2024-08-13T12:11:54,-4.21,-3.17,-10.19
2024-08-13T12:11:54,-12.82,-4.64,-21.42
2024-08-13T12:11:55,1.22,1.4,11.72
2024-08-13T12:11:55,12.27,3.42,26.55
2024-08-13T12:11:55,3.78,0.43,6.29
2024-08-13T12:11:55,-0.49,-0.61,-0.31
2024-08-13T12:11:56,-1.95,-2.38,2.81
2024-08-13T12:11:56,-3.91,-2.01,-2.62
2024-08-13T12:11:56,-3.54,-2.26,-0.73
2024-08-13T12:11:56,-5.92,-3.85,-0.55
2024-08-13T12:11:56,4.39,1.4,0.43
2024-08-13T12:11:57,2.75,17.03,-3.48
2024-08-13T12:11:57,-2.56,-1.89,-0.55
2024-08-13T12:11:57,2.2,-0.24,0
2024-08-13T12:11:57,-1.77,-0.31,-0.55
2024-08-13T12:11:58,-22.46,-4.88,-19.84
2024-08-13T12:11:58,2.32,-0.67,-9.95
2024-08-13T12:11:58,-0.92,-0.12,-0.31
2024-08-13T12:11:58,-5.92,-1.77,-11.78
2024-08-13T12:11:58,2.2,-0.79,-3.42
2024-08-13T12:11:59,8.3,-0.49,9.34
2024-08-13T12:11:59,3.78,1.95,10.44
2024-08-13T12:11:59,3.48,0.55,14.1
2024-08-13T12:11:59,-6.04,-2.44,-26.98
2024-08-13T12:12:00,4.21,-2.87,-5.92
2024-08-13T12:12:00,-0.55,1.22,2.08
2024-08-13T12:12:00,1.59,0.24,5.62
2024-08-13T12:12:00,12.39,-1.89,11.54
2024-08-13T12:12:00,13.24,1.71,22.95
2024-08-13T12:12:01,-4.58,4.27,8.36
2024-08-13T12:12:01,-7.02,-0.55,-3.6
2024-08-13T12:12:01,-12.88,-2.44,7.81
2024-08-13T12:12:01,-9.89,-1.28,9.34
2024-08-13T12:12:02,8.24,0.67,0.61
2024-08-13T12:12:02,16.11,0.18,3.91
2024-08-13T12:12:02,2.75,-4.64,8.97
2024-08-13T12:12:02,-3.05,-0.98,1.53
2024-08-13T12:12:03,-0.37,-0.61,1.53
2024-08-13T12:12:03,-2.56,-0.92,0.55
2024-08-13T12:12:03,-0.37,-0.12,1.83
2024-08-13T12:12:03,3.54,0,2.44
2024-08-13T12:12:03,-10.31,-4.88,-2.08
2024-08-13T12:12:04,2.2,-0.79,0.06
2024-08-13T12:12:04,2.75,-0.31,0.06
2024-08-13T12:12:04,-1.28,-1.1,-0.24
2024-08-13T12:12:04,-0.67,-1.83,-0.06
2024-08-13T12:12:05,-5.19,-11.35,0.18
2024-08-13T12:12:05,-6.16,22.09,-1.16
2024-08-13T12:12:05,11.78,-49.87,-14.34
2024-08-13T12:12:05,-2.81,-1.16,-6.04
2024-08-13T12:12:05,-4.27,-1.28,-12.63
2024-08-13T12:12:06,-4.21,-1.16,-10.56
2024-08-13T12:12:06,-2.5,-0.61,-9.52
2024-08-13T12:12:06,-0.37,0.12,-10.31
2024-08-13T12:12:06,-1.16,-0.73,-2.62
2024-08-13T12:12:07,0.12,-0.37,-2.32
2024-08-13T12:12:07,4.64,-1.22,-0.85
2024-08-13T12:12:07,5.8,-1.95,0.73
2024-08-13T12:12:07,1.89,-3.72,-0.24
2024-08-13T12:12:07,-1.34,0,-0.18
2024-08-13T12:12:08,49.32,17.46,31.43
2024-08-13T12:12:08,1.04,-2.01,0.24
2024-08-13T12:12:08,2.26,-0.49,0.06
2024-08-13T12:12:08,3.48,-1.34,-0.31
2024-08-13T12:12:09,1.89,-0.18,5.8
2024-08-13T12:12:09,1.95,-0.49,12.51
2024-08-13T12:12:09,-11.47,0.18,4.27
2024-08-13T12:12:09,-11.96,-1.04,0.67
2024-08-13T12:12:09,-6.35,1.4,-19.23
2024-08-13T12:12:10,6.1,-0.73,0.18
2024-08-13T12:12:10,-5.49,-0.18,-0.67
2024-08-13T12:12:10,5,-2.01,0.49
2024-08-13T12:12:11,-9.4,-5.07,-0.67
2024-08-13T12:12:11,12.27,4.52,1.77
2024-08-13T12:12:11,0.49,-6.04,-9.95
2024-08-13T12:12:11,-6.65,-0.55,-1.16
2024-08-13T12:12:11,16.97,0.31,2.93
2024-08-13T12:12:12,39.55,-8.91,-1.16
2024-08-13T12:12:12,-2.56,2.56,8.06
2024-08-13T12:12:12,-18.98,9.77,14.77
2024-08-13T12:12:12,-0.43,5.37,-3.05
2024-08-13T12:12:13,0.73,-1.59,-2.5
2024-08-13T12:12:13,10.62,-26.37,5.49
2024-08-13T12:12:13,-1.83,-0.67,-2.93
2024-08-13T12:12:13,-1.77,-0.92,-0.92
